| Product Name                                                       | URL                                                                                                                                | Image Filename    |
| ------------------------------------------------------------------ | ---------------------------------------------------------------------------------------------------------------------------------- | ----------------- |
| Province of Canada Monday Tee (Natural)                            | [provinceofcanada.com/products/monday-tee-natural-unisex](https://provinceofcanada.com/products/monday-tee-natural-unisex)         | real-shirt1.png   |
| tentree Men's Baker T-Shirt                                        | [tentree.com/products/mens-basic-tshirt-white](https://www.tentree.com/products/mens-basic-tshirt-white)                           | real-shirt2.png   |
| Roots Organic Cooper Relaxed Crew                                  | [roots.com/us/en/organic-cooper-relaxed-crew-38040949.html](https://www.roots.com/us/en/organic-cooper-relaxed-crew-38040949.html) | real-shirt3.jpg   |
| Rainforest Roast Blend                                             | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee1.jpg       |
| Organic Morning Grind                                              | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee2.jpg       |
| Ethical Espresso Roast                                             | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee3.jpg       |
| Coastal Cold Brew Blend                                            | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee4.jpg       |
| Local Artisan Grind                                                | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee5.jpg       |
| Zero Waste Decaf                                                   | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee6.jpg       |
| Farmers’ Collective Roast                                          | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee7.jpg       |
| Maplewood Morning Blend                                            | [coffeeam.com/products/decaf-coastal-calm](https://www.coffeeam.com/products/decaf-coastal-calm)                                   | coffee8.jpg       |
| Green Beaver Spearmint Toothpaste                                  | [greenbeaver.com/collections/toothpaste](https://greenbeaver.com/collections/toothpaste)                                           | toothpaste1.png   |
| X-Pur Cario Spearmint Toothpaste                                   | [xpur.ca/collections/toothpaste](https://xpur.ca/collections/toothpaste)                                                           | toothpaste2.png   |
| Zero Waste Toothpaste Mint by Ecovana                              | [ecovana.ca/products/zero-waste-toothpaste](https://ecovana.ca/products/zero-waste-toothpaste)                                     | toothpaste3.png   |
| Matt & Nat LEAF Vegan Sneakers                                     | [mattandnat.com/collections/footwear](https://mattandnat.com/collections/footwear)                                                 | sneaker1.png      |
| Matt & Nat Marci Vegan Sneaker                                     | [mattandnat.com/collections/footwear](https://mattandnat.com/collections/footwear)                                                 | sneaker2.png      |
| ATTITUDE Skin Routine                                              | [attitudeliving.ca/collections/skin-care](https://attitudeliving.ca/collections/skin-care)                                         | skincare1.png     |
| ATTITUDE Oceanly Radiant Skin Daily Facial Care Routine Box Set    | [attitudeliving.ca/collections/skin-care](https://attitudeliving.ca/collections/skin-care)                                         | skincare2.png     |
| Three Ships Dew Drops Mushroom + Kakadu Plum Hyaluronic Acid Serum | [threeshipsbeauty.com/products/dew-drops](https://threeshipsbeauty.com/products/dew-drops)                                         | skincare3.png     |
| Rocky Mountain Soap Co. Calming Face Serum                         | [rockymountainsoap.com/products/calming-face-serum](https://rockymountainsoap.com/products/calming-face-serum)                     | skincare4.jpg     |
| ATTITUDE Laundry Detergent (Citrus Zest)                           | [attitudeliving.ca/collections/laundry](https://attitudeliving.ca/collections/laundry)                                             | homecleaning.png  |
| Eco-Max All Purpose Cleaner (Natural Lemongrass)                   | [eco-max.com/products/all-purpose-cleaner](https://eco-max.com/products/all-purpose-cleaner)                                       | homecleaning2.png |
| The Bare Home Zero-Waste Multi-Purpose Cleaner                     | [thebarehome.ca/products/all-purpose-cleaner](https://thebarehome.ca/products/all-purpose-cleaner)                                 | homecleaning3.png |
| Nellie’s Laundry Soda                                              | [nelliesclean.com/products/laundry-soda](https://nelliesclean.com/products/laundry-soda)                                           | homecleaning4.png |
